                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6492,                 4.2371,                 3.8614,                0.30619,                0.61548,                0.34779,                0.18614,                 1.7426,                 4.1784,                 2.7153,             0.00033259,             0.00033259,             0.00033259
                      2,                 1.9692,                 2.9749,                 2.7377,                0.33956,                0.79175,                0.45248,                0.34382,                 1.1858,                 3.4296,                 2.0659,             0.00063296,             0.00063296,             0.00063296
                      3,                 1.5107,                 2.5208,                 2.1936,                 0.4582,                0.69401,                0.59559,                0.46441,                0.93714,                 2.2588,                 1.7325,             0.00090033,             0.00090033,             0.00090033
                      4,                 1.3848,                 2.3018,                 1.9965,                 0.5119,                0.84028,                0.65906,                0.53606,                 0.8307,                 1.7977,                 1.5203,              0.0008515,              0.0008515,              0.0008515
                      5,                  1.251,                 2.0124,                 1.8518,                0.70525,                 0.8353,                0.78366,                0.61821,                0.83862,                 1.4855,                 1.4685,               0.000802,               0.000802,               0.000802
                      6,                 1.1384,                  1.821,                  1.724,                0.65985,                0.89675,                 0.9085,                0.78094,                0.69007,                 1.4464,                 1.2901,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.0189,                 1.6135,                 1.6042,                0.64655,                0.69842,                0.79659,                 0.6939,                0.63103,                 1.3573,                  1.227,               0.000703,               0.000703,               0.000703
                      8,                 0.9855,                 1.5395,                 1.5445,                0.82274,                0.86846,                0.94214,                0.80465,                0.66425,                  1.114,                 1.2347,              0.0006535,              0.0006535,              0.0006535
                      9,                0.94098,                  1.385,                 1.5182,                0.95197,                0.94505,                0.98401,                 0.8483,                0.62795,                0.85123,                 1.1894,               0.000604,               0.000604,               0.000604
                     10,                 0.9078,                 1.2772,                 1.4627,                 0.8095,                0.87233,                0.95615,                0.83031,                0.61427,                0.95212,                  1.152,              0.0005545,              0.0005545,              0.0005545
                     11,                0.68435,                  1.048,                  1.255,                0.98011,                0.94949,                0.98863,                0.86629,                0.60182,                0.71144,                 1.1629,               0.000505,               0.000505,               0.000505
                     12,                0.64761,                0.89727,                 1.2207,                0.97335,                0.95526,                0.99089,                0.86872,                0.58357,                0.68964,                  1.137,              0.0004555,              0.0004555,              0.0004555
                     13,                0.62239,                0.81555,                 1.1903,                0.99028,                0.97081,                 0.9922,                0.87931,                0.55994,                0.56655,                 1.1008,               0.000406,               0.000406,               0.000406
                     14,                0.60161,                0.76466,                 1.1733,                0.95319,                0.95175,                0.98974,                0.88253,                0.53328,                0.61054,                 1.0853,              0.0003565,              0.0003565,              0.0003565
                     15,                0.59407,                0.70714,                   1.16,                0.91553,                0.91535,                0.98547,                0.86595,                0.55182,                0.66062,                 1.1001,               0.000307,               0.000307,               0.000307
                     16,                0.56448,                0.65808,                 1.1339,                0.97264,                0.96046,                 0.9909,                0.88176,                0.53267,                0.56612,                 1.0884,              0.0002575,              0.0002575,              0.0002575
                     17,                0.57483,                0.64919,                 1.1348,                0.97084,                0.97692,                0.99204,                0.88177,                0.51909,                0.51649,                 1.0618,               0.000208,               0.000208,               0.000208
                     18,                0.54679,                 0.5937,                 1.1147,                0.97463,                 0.9763,                0.99295,                0.89065,                0.50355,                0.52352,                 1.0618,              0.0001585,              0.0001585,              0.0001585
                     19,                0.53754,                0.57601,                  1.109,                0.99027,                0.98463,                0.99416,                0.89845,                 0.4895,                0.48948,                 1.0419,               0.000109,               0.000109,               0.000109
                     20,                0.52086,                0.55337,                 1.0783,                0.98648,                0.98355,                0.99401,                0.89634,                0.48299,                0.47125,                 1.0342,               5.95e-05,               5.95e-05,               5.95e-05
